srcIP,srcPort,dstIP,dstPort,numPackets,numBytes,streamID,maybe_TotalPackets,maybe_PercentFiltered,numPacketsSent,numBytesSent,numPacketsRecv,numBytesRecv,relStartTimestampInSec,duration,bpsSent,bpsRecv
"172.16.133.99",51686,"216.219.115.17",443,190,15244,29,0,0,127,9542,63,5702,0.060374,125.725927,607,362
"172.16.133.99",51683,"64.74.80.15",443,190,15244,30,0,0,127,9542,63,5702,0.060375,125.724338,607,362
"172.16.133.99",51687,"216.115.217.144",443,190,15244,31,0,0,127,9542,63,5702,0.06141,125.725409,607,362
"172.16.133.36",65067,"216.115.219.126",443,6,378,32,0,0,4,258,2,120,0.06227,0.5427559999999999,3802,1768
"172.16.133.20",62286,"172.16.139.250",5440,12,1142,33,0,0,12,1142,0,0,0.062582,0.014782000000000003,618048,0
"172.16.133.103",63407,"66.151.158.187",443,7,426,34,0,0,4,246,3,180,0.063778,0.239379,8221,6015
"172.16.133.103",63408,"216.219.112.250",443,6,366,35,0,0,4,246,2,120,0.065661,0.26159699999999997,7523,3669
"172.16.133.76",60548,"5.79.25.106",443,427,32907,36,0,0,264,17859,163,15048,0.06686,297.726087,479,404
"172.16.133.60",62038,"67.217.64.49",443,706,450864,37,0,0,269,22098,437,428766,0.071942,296.36183900000003,596,11574
"172.16.133.37",49741,"96.43.146.48",443,27,8409,38,0,0,16,5344,11,3065,0.073584,240.347771,177,102
"172.16.133.82",61246,"96.43.146.50",443,13,780,39,0,0,7,420,6,360,0.077899,270.149219,12,10
"172.16.133.99",55867,"96.43.146.176",443,86,53830,40,0,0,41,22483,45,31347,0.080366,260.684876,689,961
"172.16.133.53",53643,"67.217.64.49",443,651,447760,41,0,0,213,18928,438,428832,0.081997,299.523794,505,11453
"216.115.216.31",443,"172.16.133.85",51699,309,24876,42,0,0,103,9342,206,15534,0.085388,198.489976,376,626
"216.115.217.225",443,"172.16.133.85",51701,309,24876,43,0,0,103,9342,206,15534,0.085994,198.491187,376,626
"172.16.133.82",61245,"96.43.146.50",443,13,780,44,0,0,7,420,6,360,0.086886,270.136566,12,10
"172.16.133.82",61242,"96.43.146.50",443,13,780,45,0,0,7,420,6,360,0.086888,270.072696,12,10
"172.16.133.82",61243,"96.43.146.50",443,13,780,46,0,0,7,420,6,360,0.087869,270.140036,12,10
"172.16.133.82",61244,"96.43.146.50",443,13,780,47,0,0,7,420,6,360,0.087871,270.140206,12,10
"98.138.19.88",80,"172.16.133.132",44296,6,1006,48,0,0,4,874,2,132,0.091257,0.07874699999999998,88790,13410
"172.16.133.78",58631,"157.56.241.150",443,47,14575,49,0,0,17,1020,30,13555,0.09209,299.30472000000003,27,362
"157.56.241.150",443,"172.16.133.75",58187,85,27435,50,0,0,54,25533,31,1902,0.093029,285.211085,716,53
"172.16.133.28",65271,"172.16.139.250",5440,10,1022,51,0,0,10,1022,0,0,0.095941,0.005540000000000003,1475812,0
"172.16.133.109",49453,"96.43.146.22",443,62,31092,52,0,0,35,17237,27,13855,0.09857,11.86225,11624,9343
"172.16.133.78",54905,"66.31.24.112",32450,159,12513,53,0,0,78,5600,81,6913,0.112067,277.075228,161,199
"172.16.133.132",54613,"216.185.152.111",80,88,31200,54,0,0,56,13890,32,17310,0.113427,31.428691999999998,3535,4406
"172.16.133.99",55981,"172.16.139.250",5440,10,1022,55,0,0,10,1022,0,0,0.120195,0.014748000000000011,554380,0
"172.16.131.10",8080,"172.16.133.237",4358,156,56074,56,0,0,86,8508,70,47566,0.121751,270.348892,251,1407
"172.16.131.10",8080,"172.16.133.235",2691,10,1401,57,0,0,5,378,5,1023,0.122735,6.303498,479,1298
"172.16.133.132",38625,"98.139.134.187",80,15,8483,58,0,0,8,942,7,7541,0.127207,0.15413000000000002,48893,391409
"96.43.146.50",443,"172.16.133.82",61241,50,26292,59,0,0,26,10642,24,15650,0.130641,287.21198499999997,296,435
"172.16.133.87",60115,"172.16.139.250",5440,10,1022,60,0,0,10,1022,0,0,0.141755,0.006979000000000013,1171514,0
"172.16.133.18",49879,"157.56.238.6",443,59,25260,61,0,0,28,11256,31,14004,0.151234,247.62717700000002,363,452
"172.16.133.118",57961,"68.64.28.20",443,110,8336,62,0,0,55,4261,55,4075,0.156762,292.455992,116,111
"172.16.133.26",53038,"67.217.65.99",443,459,37044,63,0,0,306,23121,153,13923,0.158599,299.817815,616,371
"172.16.133.116",53121,"172.16.139.250",5440,10,1022,64,0,0,10,1022,0,0,0.159288,0.006748999999999977,1211438,0
"172.16.133.35",49909,"172.16.139.250",5440,12,1142,65,0,0,12,1142,0,0,0.162908,0.024187000000000014,377723,0
"172.16.133.26",53041,"67.217.66.99",443,459,37044,66,0,0,306,23121,153,13923,0.164585,299.811708,616,371
"172.16.133.26",53040,"67.217.64.99",443,459,37044,67,0,0,306,23121,153,13923,0.166573,299.80995399999995,616,371
"172.16.133.116",53122,"172.16.139.250",5440,10,1022,68,0,0,10,1022,0,0,0.167155,0.005482000000000015,1491426,0
"24.63.143.150",10943,"172.16.133.25",59904,93,6863,69,0,0,48,3840,45,3023,0.168032,298.28365,102,81
"172.16.133.233",22,"172.16.128.233",55208,228,35388,70,0,0,148,29696,80,5692,0.171167,13.536660999999999,17549,3363
"172.16.133.116",53123,"172.16.139.250",5440,10,1022,71,0,0,10,1022,0,0,0.173473,0.007107000000000002,1150415,0
"172.16.133.82",61235,"64.56.203.22",443,13,780,72,0,0,7,420,6,360,0.177876,270.415213,12,10
"172.16.133.84",58729,"172.16.139.250",5440,10,1022,73,0,0,10,1022,0,0,0.181031,0.014629000000000003,558889,0
"172.16.133.207",55649,"67.217.66.54",443,459,37044,74,0,0,306,23121,153,13923,0.191088,299.786037,617,371
"172.16.133.207",55648,"67.217.64.54",443,459,37044,75,0,0,306,23121,153,13923,0.192048,299.78641700000003,616,371
"172.16.133.207",55646,"67.217.65.54",443,459,37044,76,0,0,306,23121,153,13923,0.19205,299.78631,616,371
"157.56.232.214",443,"172.16.133.121",53746,13,1149,77,0,0,7,789,6,360,0.194952,245.734195,25,11
"157.56.242.198",443,"172.16.133.57",60587,18,6543,78,0,0,9,4220,9,2323,0.196276,61.319462,550,303
"172.16.133.132",54620,"216.185.152.111",80,81,33538,79,0,0,53,13216,28,20322,0.205184,25.218868,4192,6446
"172.16.133.103",63409,"202.173.24.200",443,6,366,80,0,0,4,246,2,120,0.205814,0.474926,4143,2021
"172.16.133.121",53745,"157.56.232.214",443,28,2358,81,0,0,14,1518,14,840,0.206576,271.404474,44,24
"172.16.133.82",61234,"64.56.203.22",443,26,19642,82,0,0,11,5271,15,14371,0.216866,12.856731,3279,8942
"172.16.133.82",60717,"216.115.208.199",443,59,4408,83,0,0,30,2234,29,2174,0.216868,168.062763,106,103
"172.16.133.28",49284,"5.79.25.105",443,443,33822,84,0,0,275,18628,168,15194,0.219012,297.25323599999996,501,408
"172.16.133.35",64162,"172.16.139.250",5462,794,49708,85,0,0,794,49708,0,0,0.22873,298.36642,1332,0
"172.16.133.46",58048,"172.16.139.250",5462,796,49828,86,0,0,796,49828,0,0,0.22989,298.359869,1336,0
"172.16.133.35",63962,"172.16.139.250",5500,2836,1684068,87,0,0,2836,1684068,0,0,0.231844,298.571988,45123,0
"172.16.133.207",49562,"172.16.139.250",5462,794,49708,88,0,0,794,49708,0,0,0.232624,298.35765200000003,1332,0
"172.16.133.46",57824,"172.16.139.250",5500,2784,1677104,89,0,0,2784,1677104,0,0,0.233309,298.56913099999997,44937,0
"24.63.70.49",28159,"172.16.133.25",59820,95,6942,90,0,0,50,4005,45,2937,0.234208,297.70147499999996,107,78
"172.16.133.37",49273,"172.16.139.250",5462,816,51028,91,0,0,816,51028,0,0,0.235106,298.36653600000005,1368,0
"172.16.133.207",49560,"172.16.139.250",5500,2664,1669904,92,0,0,2664,1669904,0,0,0.235367,298.363309,44775,0
"172.16.133.132",50395,"76.13.6.174",80,9,1929,93,0,0,5,717,4,1212,0.236315,0.11392600000000003,50348,85107
"172.16.133.67",49855,"172.16.139.250",5462,834,52108,94,0,0,834,52108,0,0,0.237316,298.36474999999996,1397,0
"172.16.133.37",49272,"172.16.139.250",5500,2718,1698836,95,0,0,2718,1698836,0,0,0.237604,298.36993700000005,45549,0
"172.16.133.68",49279,"172.16.139.250",5462,828,51792,96,0,0,828,51792,0,0,0.240369,298.361844,1388,0
"172.16.133.67",49854,"172.16.139.250",5500,2782,1720428,97,0,0,2782,1720428,0,0,0.240694,298.365794,46129,0
"172.16.133.11",49284,"172.16.139.250",5462,796,49828,99,0,0,796,49828,0,0,0.245472,298.35864499999997,1336,0
"172.16.133.68",49278,"172.16.139.250",5500,2794,1750356,100,0,0,2794,1750356,0,0,0.245927,298.362905,46932,0
"172.16.133.11",49283,"172.16.139.250",5500,2656,1669604,101,0,0,2656,1669604,0,0,0.251906,298.356162,44768,0
"172.16.133.42",57835,"172.16.139.250",5462,866,54380,102,0,0,866,54380,0,0,0.253625,298.357724,1458,0
"172.16.133.49",55704,"172.16.139.250",5440,10,1022,103,0,0,10,1022,0,0,0.260152,0.01549600000000001,527620,0
"184.96.221.120",64510,"172.16.133.78",58899,82,6717,104,0,0,43,3673,39,3044,0.261365,115.96280300000001,253,209
"173.49.112.206",61315,"172.16.133.25",60121,157,11616,105,0,0,80,6646,77,4970,0.275429,296.156518,179,134
"172.16.133.42",57833,"172.16.139.250",5500,4926,1889680,106,0,0,4926,1889680,0,0,0.275944,298.549275,50636,0
"172.16.133.95",56882,"172.16.139.250",5440,12,1142,107,0,0,12,1142,0,0,0.29438,0.016122000000000025,566679,0
"172.16.133.132",54610,"98.139.161.29",80,9,1428,108,0,0,5,715,4,713,0.296278,0.11227200000000004,50947,50805
"172.16.133.132",44300,"98.138.19.88",80,10,1681,109,0,0,5,733,5,948,0.312246,0.18621099999999996,31491,40727
"172.16.133.63",53725,"107.22.18.198",443,201,106864,110,0,0,127,81288,74,25576,0.319388,90.087594,7218,2271
"172.16.133.24",57634,"23.20.10.203",443,2,120,111,0,0,1,60,1,60,0.319638,0.030028,15985,15985
"172.16.133.24",57632,"23.20.10.203",443,2,120,112,0,0,1,60,1,60,0.319891,0.03514200000000001,13658,13658
"172.16.133.24",57633,"23.20.10.203",443,134,69208,113,0,0,84,52442,50,16766,0.320483,75.593974,5549,1774
"172.16.133.92",57606,"172.16.139.250",5440,12,1142,114,0,0,12,1142,0,0,0.323566,0.012826000000000004,712303,0
"172.16.133.92",57607,"216.219.115.250",443,6,366,115,0,0,4,246,2,120,0.3241,0.05001899999999998,39345,19192
"172.16.133.43",57403,"173.194.43.59",80,2,120,116,0,0,1,60,1,60,0.324716,0.025289000000000006,18980,18980
"172.16.133.43",57406,"173.194.43.59",80,2,120,117,0,0,1,60,1,60,0.324722,0.025399000000000005,18898,18898
"216.219.115.160",443,"172.16.133.57",59181,234,28178,118,0,0,116,13623,118,14555,0.324919,297.261649,366,391
"172.16.133.92",57608,"67.217.66.244",443,6,366,119,0,0,4,246,2,120,0.328106,0.05840899999999999,33693,16435
"67.217.64.49",443,"172.16.133.114",55269,731,458586,120,0,0,300,24869,431,433717,0.3338,298.795002,665,11612
"172.16.133.132",52323,"98.139.240.23",80,9,1654,121,0,0,5,1036,4,618,0.338782,0.117975,70252,41907
"172.16.133.57",59183,"216.219.115.183",443,234,28178,122,0,0,118,14555,116,13623,0.340883,297.246518,391,366
"172.16.133.26",53072,"107.20.103.220",443,148,80447,123,0,0,94,61766,54,18681,0.340982,66.092839,7476,2261
"172.16.133.29",60816,"172.16.139.250",5440,10,1022,124,0,0,10,1022,0,0,0.341535,0.005462000000000022,1496887,0
"172.16.133.114",55271,"67.217.64.54",443,240,27887,125,0,0,112,13400,128,14487,0.347447,298.783198,358,387
"172.16.133.44",64673,"172.16.139.250",5440,10,1022,126,0,0,10,1022,0,0,0.34814,0.005460999999999994,1497161,0
"172.16.133.45",61287,"96.43.146.176",443,17,1037,127,0,0,8,480,9,557,0.357736,255.61247300000002,15,17
"157.56.237.150",443,"172.16.133.29",49318,12,1034,128,0,0,6,674,6,360,0.361598,261.765266,20,11
"157.56.236.102",443,"172.16.133.23",61949,10,863,129,0,0,5,563,5,300,0.362633,240.62444100000002,18,9
"172.16.133.92",57609,"68.64.30.250",443,6,366,130,0,0,4,246,2,120,0.368134,0.10543599999999997,18665,9105
"172.16.133.92",57610,"68.64.13.250",443,6,366,131,0,0,4,246,2,120,0.374009,0.12067800000000001,16307,7955
"172.16.133.36",64948,"208.85.40.50",80,2,1732,132,0,0,1,866,1,866,0.374067,0.000254000000000032,"",""
"172.16.133.207",55872,"172.16.139.250",5440,12,1142,133,0,0,12,1142,0,0,0.374322,0.015058000000000016,606720,0
"172.16.133.36",65068,"208.85.40.20",80,6,1565,134,0,0,4,1076,2,489,0.37541,0.18200399999999994,47295,21494
"172.16.133.28",63799,"96.43.146.22",443,46,18737,135,0,0,25,15221,21,3516,0.375891,279.034064,436,100
"172.16.133.83",57021,"172.16.139.250",5440,10,1022,136,0,0,10,1022,0,0,0.38044,0.004933999999999994,"",""
"157.56.236.102",443,"172.16.133.43",62631,26,4388,137,0,0,15,3722,11,666,0.397929,240.950349,123,22
"172.16.133.93",60597,"172.16.139.250",5440,12,1142,138,0,0,12,1142,0,0,0.398893,0.005236000000000018,1744843,0
"172.16.133.45",61190,"173.70.53.92",41433,4,240,139,0,0,2,120,2,120,0.400258,0.03106199999999998,30905,30905
"172.16.133.45",61200,"24.125.152.21",51398,4,240,140,0,0,2,120,2,120,0.400314,0.044003000000000014,21816,21816
"172.16.133.93",54574,"96.43.146.22",443,42,19080,141,0,0,24,16188,18,2892,0.405989,289.786081,446,79
"172.16.133.75",58053,"96.43.146.176",443,27,8683,142,0,0,16,5618,11,3065,0.40726,240.35672599999998,186,102
"172.16.133.11",55079,"172.16.139.250",5440,12,1142,143,0,0,12,1142,0,0,0.414634,0.006491999999999998,1407270,0
"172.16.133.55",57517,"172.16.139.250",5440,10,1022,144,0,0,10,1022,0,0,0.419556,0.005792999999999993,1411358,0
"216.115.208.199",443,"172.16.133.36",64909,170,31745,145,0,0,87,14165,83,17580,0.422683,288.622565,392,487
"172.16.133.39",62817,"216.115.216.44",443,194,15583,146,0,0,129,9699,65,5884,0.423675,125.338186,619,375
"172.16.133.39",62818,"216.219.115.17",443,194,15583,147,0,0,129,9699,65,5884,0.423951,125.343752,619,375
"172.16.133.39",62821,"216.115.217.144",443,194,15583,148,0,0,129,9699,65,5884,0.424229,125.34385300000001,619,375
"172.16.133.39",62815,"64.74.80.15",443,194,15583,149,0,0,129,9699,65,5884,0.424478,125.336792,619,375
"172.16.133.163",1184,"157.56.240.102",443,1431,182280,150,0,0,721,139668,710,42612,0.427959,278.136858,4017,1225
"172.16.133.73",60503,"172.16.139.250",5440,10,1022,151,0,0,10,1022,0,0,0.443913,0.005888000000000004,1388586,0
"172.16.133.53",54037,"172.16.139.250",5440,10,1022,152,0,0,10,1022,0,0,0.444719,0.011280000000000012,724822,0
"172.16.133.21",53111,"172.16.139.250",5440,10,1022,153,0,0,10,1022,0,0,0.448779,0.012360000000000038,661488,0
"172.16.133.30",62549,"172.16.139.250",5440,12,1142,154,0,0,12,1142,0,0,0.451477,0.015497999999999956,589495,0
"172.16.133.37",55511,"96.43.146.176",443,114,83248,155,0,0,55,43163,59,40085,0.452304,257.71443,1339,1244
"172.16.133.37",60537,"96.43.146.48",443,44,22003,156,0,0,20,8856,24,13147,0.460443,278.166481,254,378
"173.194.75.99",443,"172.16.133.25",62995,6,450,157,0,0,4,330,2,120,0.467279,0.04111500000000001,64210,23349
"172.16.133.34",50377,"172.16.139.250",5440,12,1142,158,0,0,12,1142,0,0,0.467488,0.005381999999999998,1697510,0
"172.16.133.47",56534,"67.217.65.65",443,458,37003,159,0,0,307,23262,151,13741,0.469215,298.229154,624,368
"172.16.133.47",56536,"67.217.64.65",443,458,37003,160,0,0,307,23262,151,13741,0.469217,298.229151,624,368
"172.16.133.47",56537,"67.217.66.65",443,458,37003,161,0,0,307,23262,151,13741,0.469302,298.229068,624,368
"157.56.240.102",443,"172.16.133.163",1185,1022,401945,162,0,0,653,379799,369,22146,0.469461,277.143826,10963,639
"172.16.133.25",63342,"172.16.139.250",5440,10,1022,163,0,0,10,1022,0,0,0.469619,0.007247999999999977,1128035,0
"174.129.20.55",443,"172.16.133.110",45907,15,5974,164,0,0,7,5458,8,516,0.469936,2.400058,18192,1719
"172.16.133.97",59308,"172.16.139.250",5440,10,1022,165,0,0,10,1022,0,0,0.479127,0.005511999999999961,1483309,0
"172.16.128.169",8014,"172.16.133.128",64958,5,446,166,0,0,3,326,2,120,0.480088,0.10075799999999996,25883,9527
"172.16.128.169",8014,"172.16.133.92",57225,5,446,167,0,0,3,326,2,120,0.480397,0.128164,20348,7490
"172.16.128.169",8014,"172.16.133.33",57361,5,446,168,0,0,3,326,2,120,0.480492,0.10045300000000007,25962,9556
"172.16.128.169",8014,"172.16.133.93",60076,4,386,169,0,0,3,326,1,60,0.482452,0.09939299999999995,26239,4829
"172.16.128.169",8014,"172.16.133.11",54680,5,446,170,0,0,3,326,2,120,0.482544,0.10645300000000002,24499,9018
"172.16.128.169",8014,"172.16.133.83",56650,5,446,171,0,0,3,326,2,120,0.482832,0.09911700000000007,26312,9685
"172.16.128.169",8014,"172.16.133.68",60280,5,446,172,0,0,3,326,2,120,0.483004,0.09904199999999996,26332,9692
"172.16.128.169",8014,"172.16.133.235",2682,5,446,173,0,0,3,326,2,120,0.483237,0.15160600000000002,17202,6332
"172.16.128.169",8014,"172.16.133.20",61857,5,446,174,0,0,3,326,2,120,0.483495,0.09945599999999999,26222,9652
"172.16.128.169",8014,"172.16.133.28",64786,5,446,175,0,0,3,326,2,120,0.483718,0.099333,26255,9664
"172.16.128.169",8014,"172.16.133.72",52205,5,446,176,0,0,3,326,2,120,0.483904,0.10891300000000004,23945,8814
"172.16.128.169",8014,"172.16.133.34",50008,5,446,177,0,0,3,326,2,120,0.484082,0.09910299999999994,26316,9686
"172.16.128.169",8014,"172.16.133.95",56519,5,446,178,0,0,3,326,2,120,0.484277,0.09901500000000002,26339,9695
"172.16.128.169",8014,"172.16.133.60",62028,5,446,179,0,0,3,326,2,120,0.484587,0.09880500000000003,26395,9716
"172.16.128.169",8014,"172.16.133.49",55355,5,446,180,0,0,3,326,2,120,0.484812,0.10408799999999996,25055,9222
"172.16.128.169",8014,"172.16.133.43",57325,5,446,181,0,0,3,326,2,120,0.485154,0.10402699999999998,25070,9228
"172.16.128.169",8014,"172.16.133.37",60126,5,446,182,0,0,3,326,2,120,0.48545,0.10363899999999998,25164,9262
"172.16.128.169",8014,"172.16.133.76",62340,5,446,183,0,0,3,326,2,120,0.485692,0.11316999999999999,23044,8482
"172.16.128.169",8014,"172.16.133.53",53649,5,446,184,0,0,3,326,2,120,0.485792,0.106819,24415,8987
"172.16.128.169",8014,"172.16.133.25",62890,5,446,185,0,0,3,326,2,120,0.486033,0.10732999999999998,24298,8944
"172.16.128.169",8014,"172.16.133.46",64483,5,446,186,0,0,3,326,2,120,0.486198,0.103074,25302,9313
"172.16.128.169",8014,"172.16.133.88",51194,5,446,187,0,0,3,326,2,120,0.486521,0.10619600000000007,24558,9039
"172.16.128.169",8014,"172.16.133.103",63350,5,446,188,0,0,3,326,2,120,0.486804,0.10619699999999999,24558,9039
"172.16.128.169",8014,"172.16.133.12",59108,5,446,189,0,0,3,326,2,120,0.487092,0.10581499999999994,24646,9072
"172.16.128.169",8014,"172.16.133.75",50413,5,446,190,0,0,3,326,2,120,0.487268,0.105825,24644,9071
"172.16.128.169",8014,"172.16.133.66",53308,5,446,191,0,0,3,326,2,120,0.488747,0.10443399999999997,24972,9192
"172.16.128.169",8014,"172.16.133.87",59659,5,446,192,0,0,3,326,2,120,0.489013,0.10425800000000002,25014,9207
"172.16.133.132",38630,"98.139.134.187",80,15,8483,193,0,0,8,942,7,7541,0.497614,0.14032999999999995,53701,429900
"172.16.133.60",62042,"67.217.66.49",443,453,36573,194,0,0,303,22923,150,13650,0.50609,298.237298,614,366
"172.16.133.60",62039,"67.217.65.49",443,453,36573,195,0,0,303,22923,150,13650,0.506091,298.23729499999996,614,366
"172.16.133.60",62041,"67.217.64.49",443,453,36573,196,0,0,303,22923,150,13650,0.506092,298.23825999999997,614,366
"172.16.133.68",56917,"205.203.132.1",80,93,39087,197,0,0,56,30986,37,8101,0.51515,290.07561599999997,854,223
"208.92.54.5",80,"172.16.133.56",56237,3380,2705837,198,0,0,2042,2623071,1338,82766,0.527023,299.209657,70133,2212
"172.16.133.53",53992,"173.194.43.7",443,16,1080,199,0,0,7,420,9,660,0.527996,195.016352,17,27
"172.16.133.82",61250,"64.56.203.22",443,15,4098,200,0,0,8,2939,7,1159,0.542029,12.531741,1876,739
"172.16.133.82",61251,"64.56.203.22",443,22,9849,201,0,0,12,3516,10,6333,0.542085,15.319535,1836,3307
"172.16.133.82",61252,"64.56.203.22",443,15,3955,202,0,0,8,2933,7,1022,0.542193,12.532353,1872,652
"96.43.146.176",443,"172.16.133.50",50638,218,158831,203,0,0,129,131924,89,26907,0.542885,281.583038,3748,764
"172.16.133.36",64956,"67.217.64.99",443,493,44620,204,0,0,321,27402,172,17218,0.543088,298.022817,735,462
"172.16.133.36",64958,"67.217.66.99",443,495,44801,205,0,0,322,27505,173,17296,0.543515,298.020041,738,464
"172.16.133.36",64954,"67.217.65.99",443,495,44801,206,0,0,322,27505,173,17296,0.543516,298.021934,738,464
"172.16.133.24",55774,"172.16.139.250",5500,122,52264,207,0,0,122,52264,0,0,0.545016,285.77290800000003,1463,0
"172.16.133.82",61253,"216.137.33.209",443,20,7696,208,0,0,9,926,11,6770,0.546893,35.236647000000005,210,1537
"172.16.133.82",61254,"216.137.33.209",443,19,7386,209,0,0,9,920,10,6466,0.546895,35.236110000000004,208,1468
"172.16.133.82",61255,"216.137.33.209",443,19,7636,210,0,0,8,866,11,6770,0.547028,35.235877,196,1537
"172.16.133.82",61256,"216.137.33.209",443,19,7386,211,0,0,9,920,10,6466,0.547156,35.235661,208,1468
"172.16.133.82",61257,"216.137.33.209",443,19,7636,212,0,0,8,866,11,6770,0.547262,35.235887,196,1537
"172.16.133.82",61258,"74.125.226.222",443,62,19639,213,0,0,33,16821,29,2818,0.549147,280.723882,479,80
"172.16.133.41",52362,"173.194.75.103",443,57,14827,214,0,0,27,9167,30,5660,0.549266,277.309429,264,163
"172.16.133.33",57817,"172.16.139.250",5440,12,1142,215,0,0,12,1142,0,0,0.555637,0.025474999999999914,358626,0
"172.16.133.24",56083,"172.16.139.250",5462,46,2760,216,0,0,46,2760,0,0,0.5631,273.740339,80,0
"132.245.1.150",443,"172.16.133.85",60808,160,92168,217,0,0,109,89102,51,3066,0.566049,243.080951,2932,100
"172.16.133.85",60806,"132.245.1.150",443,139,27825,218,0,0,71,23745,68,4080,0.567271,280.86413699999997,676,116
"172.16.133.85",51683,"216.115.208.199",443,190,52956,219,0,0,90,28179,100,24777,0.579121,295.619437,762,670
"172.16.133.68",60656,"172.16.139.250",5440,12,1142,220,0,0,12,1142,0,0,0.584739,0.01651199999999997,553294,0
"172.16.133.12",59648,"172.16.139.250",5440,10,1022,221,0,0,10,1022,0,0,0.598092,0.014524000000000092,562930,0
"157.56.245.198",443,"172.16.133.207",49659,138,37681,222,0,0,90,34795,48,2886,0.606161,293.419336,948,78
"172.16.133.63",53814,"172.16.139.250",5440,10,1022,223,0,0,10,1022,0,0,0.607421,0.009174000000000015,891214,0
"172.16.133.207",49658,"157.56.245.198",443,395,259190,224,0,0,224,248930,171,10260,0.607645,293.210366,6791,279
"172.16.133.66",53787,"172.16.139.250",5440,10,1022,225,0,0,10,1022,0,0,0.624045,0.038000000000000034,215157,0
"172.16.139.250",3389,"172.16.128.15",57460,635,47200,226,0,0,323,28178,312,19022,0.63281,298.811643,754,509
"172.16.133.45",61092,"173.194.68.125",5222,16,1623,227,0,0,8,1076,8,547,0.633719,286.44688,30,15
"172.16.133.82",61259,"172.16.139.250",5440,10,1022,228,0,0,10,1022,0,0,0.636978,0.02962100000000001,276020,0
